Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
1,Bad Boys for Life,"$425,514,702","$204,417,855",48%,"$221,096,847",52%,2020.csv,2020
2,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%,2020.csv,2020
3,Dolittle,"$227,908,130","$77,047,065",33.8%,"$150,861,065",66.2%,2020.csv,2020
4,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%,2020.csv,2020
5,The Invisible Man,"$124,549,496","$64,914,050",52.1%,"$59,635,446",47.9%,2020.csv,2020
6,The Gentlemen,"$117,769,345","$36,296,853",30.8%,"$81,472,492",69.2%,2020.csv,2020
7,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%,2020.csv,2020
8,The Grudge,"$49,511,319","$21,221,803",42.9%,"$28,289,516",57.1%,2020.csv,2020
9,Fantasy Island,"$48,607,556","$26,441,782",54.4%,"$22,165,774",45.6%,2020.csv,2020
10,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%,2020.csv,2020
11,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%,2020.csv,2020
12,Bloodshot,"$29,749,454","$10,021,787",33.7%,"$19,727,667",66.3%,2020.csv,2020
13,Emma.,"$25,155,355","$10,055,355",40%,"$15,100,000",60%,2020.csv,2020
14,Gretel & Hansel,"$21,984,429","$15,347,654",69.8%,"$6,636,775",30.2%,2020.csv,2020
15,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%,2020.csv,2020
16,The Turning,"$18,474,062","$15,472,775",83.8%,"$3,001,287",16.2%,2020.csv,2020
17,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%,2020.csv,2020
18,La Belle Époque,"$14,298,084",-,-,"$14,298,084",100%,2020.csv,2020
19,I Still Believe,"$10,482,561","$9,868,521",94.1%,"$614,040",5.9%,2020.csv,2020
20,The Hunt,"$6,512,500","$5,812,500",89.3%,"$700,000",10.7%,2020.csv,2020
21,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%,2020.csv,2020
22,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%,2020.csv,2020
23,My Spy,"$4,405,156",-,-,"$4,405,156",100%,2020.csv,2020
24,The Last Full Measure,"$3,006,059","$2,949,212",98.1%,"$56,847",1.9%,2020.csv,2020
25,The Lodge,"$2,679,438","$1,666,564",62.2%,"$1,012,874",37.8%,2020.csv,2020
26,Trolls World Tour,"$1,758,185",-,-,"$1,758,185",100%,2020.csv,2020
27,Blind Eyes Opened,"$234,505","$234,505",100%,-,-,2020.csv,2020
28,Burden,"$139,270","$139,270",100%,-,-,2020.csv,2020
29,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%,2020.csv,2020
30,First Cow,"$101,068","$101,068",100%,-,-,2020.csv,2020
31,Run,"$4,052",-,-,"$4,052",100%,2020.csv,2020
32,A Quiet Place Part II,$163,-,-,$163,100%,2020.csv,2020
1,Avengers: Endgame,"$2,797,800,564","$858,373,000",30.7%,"$1,939,427,564",69.3%,2019.csv,2019
